                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.70351,                 1.2268,                0.53171,                0.98313,                0.90635,                0.87435,                0.93302,                0.74533,                0.89308,                0.87947,                0.92372,                0.69126,                0.79275,                  1.282,                0.57679,                 1.0542,              0.0062875,              0.0062875,              0.0062875
                     78,                0.71517,                 1.2241,                0.53929,                0.99095,                0.90868,                0.86851,                0.92465,                0.73433,                 0.9031,                0.86368,                0.91511,                0.68048,                 0.7978,                 1.2951,                0.57738,                 1.0653,               0.006238,               0.006238,               0.006238
                     79,                0.72348,                 1.2402,                0.53897,                0.99225,                0.89224,                0.89063,                0.92656,                0.74339,                0.88459,                0.89139,                 0.9185,                0.69186,                0.78244,                 1.2761,                0.57058,                 1.0469,              0.0061885,              0.0061885,              0.0061885
                     80,                0.70746,                 1.2263,                0.52656,                0.98394,                0.90482,                0.87674,                0.92827,                0.73479,                0.90157,                0.87153,                0.91888,                0.69161,                0.79422,                 1.2693,                0.57913,                  1.059,               0.006139,               0.006139,               0.006139
                     81,                0.71633,                 1.2105,                0.54041,                 0.9877,                0.90416,                0.88661,                0.93328,                0.75292,                0.89767,                0.88432,                0.92641,                0.70185,                0.78338,                 1.2528,                0.55702,                 1.0508,              0.0060895,              0.0060895,              0.0060895
                     82,                0.70924,                 1.1929,                0.52836,                0.98554,                0.89302,                0.89983,                0.93659,                0.75767,                0.88979,                0.89665,                0.92846,                0.70458,                0.78232,                 1.2463,                0.55377,                 1.0487,                0.00604,                0.00604,                0.00604
                     83,                0.70103,                 1.2029,                0.51822,                 0.9858,                0.89684,                0.88274,                0.92997,                0.74531,                0.89187,                0.87476,                0.92253,                0.69706,                0.77428,                 1.2948,                0.54381,                 1.0529,              0.0059905,              0.0059905,              0.0059905
                     84,                0.70388,                 1.1896,                0.53417,                0.98792,                0.90603,                0.87858,                0.92711,                0.74108,                0.88921,                0.88044,                0.91859,                0.68812,                0.77571,                 1.2611,                0.56983,                 1.0441,               0.005941,               0.005941,               0.005941
                     85,                0.69844,                 1.1774,                0.51698,                0.98388,                0.89678,                0.89823,                0.93246,                 0.7534,                0.89245,                0.89363,                0.92348,                0.69597,                0.77185,                  1.287,                0.55316,                 1.0419,              0.0058915,              0.0058915,              0.0058915
                     86,                0.69421,                 1.1798,                0.51847,                0.98106,                0.88583,                0.90255,                0.92298,                0.74902,                  0.891,                0.89335,                0.91871,                0.70155,                0.77153,                 1.2449,                0.53813,                 1.0417,               0.005842,               0.005842,               0.005842
                     87,                0.69723,                 1.1876,                0.51537,                0.98218,                0.91218,                0.87609,                0.93143,                0.75471,                0.91197,                 0.8707,                 0.9224,                0.69819,                0.78572,                 1.2376,                0.54757,                 1.0492,              0.0057925,              0.0057925,              0.0057925
                     88,                0.67971,                 1.1749,                0.50359,                0.97593,                0.89385,                0.89627,                0.93686,                0.76591,                0.89039,                0.88774,                0.92854,                0.71261,                0.75487,                 1.2236,                0.53267,                 1.0379,               0.005743,               0.005743,               0.005743
                     89,                0.69258,                 1.1753,                0.50754,                0.98454,                0.90568,                0.87503,                 0.9307,                0.74784,                0.90426,                0.86768,                0.91851,                0.69282,                0.77788,                 1.3015,                0.56205,                 1.0442,              0.0056935,              0.0056935,              0.0056935
                     90,                0.69623,                  1.194,                0.52315,                0.98505,                0.90765,                0.89488,                0.93536,                 0.7546,                0.90382,                0.88616,                0.92414,                0.70067,                0.76365,                 1.2668,                0.54974,                 1.0364,               0.005644,               0.005644,               0.005644
                     91,                0.69171,                 1.1784,                0.51497,                0.97833,                0.88453,                 0.8445,                0.90944,                0.71973,                0.87221,                0.83913,                0.89469,                0.66936,                0.80756,                 1.3686,                0.60464,                 1.0746,              0.0055945,              0.0055945,              0.0055945
                     92,                0.71082,                 1.1967,                 0.5153,                 0.9879,                0.89986,                0.87657,                0.92445,                0.74295,                0.89994,                0.86627,                0.91599,                0.68568,                0.80481,                 1.2947,                0.56562,                 1.0574,               0.005545,               0.005545,               0.005545
                     93,                0.68411,                 1.1595,                 0.5017,                0.97885,                0.88199,                 0.8695,                0.91911,                0.73915,                0.87766,                0.86272,                0.90986,                0.68693,                0.77525,                 1.2809,                 0.5672,                 1.0437,              0.0054955,              0.0054955,              0.0054955
                     94,                0.67005,                 1.1305,                0.49275,                0.96988,                0.89068,                0.88109,                0.92473,                0.74803,                0.88271,                0.87934,                0.91794,                0.69604,                0.77545,                 1.2701,                0.55861,                  1.044,               0.005446,               0.005446,               0.005446
                     95,                0.69615,                 1.1857,                 0.5144,                0.97973,                0.88851,                 0.8887,                0.92902,                0.74597,                0.88417,                0.88113,                0.91908,                0.69046,                 0.7748,                 1.2646,                0.55702,                 1.0381,              0.0053965,              0.0053965,              0.0053965
                     96,                0.68288,                 1.1531,                0.48853,                 0.9699,                0.90878,                0.88033,                 0.9323,                0.75287,                0.89863,                0.87052,                0.91664,                0.69903,                0.76434,                 1.2856,                  0.548,                 1.0367,               0.005347,               0.005347,               0.005347
                     97,                0.66874,                 1.1268,                0.48835,                0.96567,                0.90745,                0.89134,                0.93234,                0.75321,                0.89949,                0.88067,                0.92054,                0.69933,                0.76578,                 1.2789,                0.53649,                  1.035,              0.0052975,              0.0052975,              0.0052975
                     98,                0.66827,                 1.1545,                0.49097,                 0.9615,                0.90277,                0.89688,                0.92913,                0.75145,                0.90127,                0.88752,                0.91767,                0.69877,                0.76176,                 1.2625,                0.53884,                 1.0325,               0.005248,               0.005248,               0.005248
                     99,                0.69688,                 1.1675,                0.50453,                0.97345,                0.89686,                0.88791,                0.93581,                0.76146,                0.89385,                0.88416,                0.92892,                0.71123,                0.76265,                 1.2482,                0.52762,                 1.0345,              0.0051985,              0.0051985,              0.0051985
                    100,                0.68722,                 1.1453,                0.49514,                 0.9732,                0.89852,                0.89504,                0.93468,                0.75839,                 0.8844,                0.90107,                0.92592,                0.70652,                0.76333,                  1.258,                0.53014,                 1.0389,               0.005149,               0.005149,               0.005149
                    101,                0.67668,                 1.1405,                0.49685,                0.96744,                0.91191,                0.89457,                0.93363,                0.75307,                0.90571,                0.88696,                0.92415,                0.70417,                0.76952,                 1.2626,                0.53835,                 1.0415,              0.0050995,              0.0050995,              0.0050995
                    102,                0.66859,                 1.1589,                0.48939,                0.97074,                0.91925,                0.88969,                0.93236,                0.75398,                0.91304,                0.88372,                0.92403,                0.70428,                0.76353,                 1.2775,                0.53567,                 1.0388,                0.00505,                0.00505,                0.00505
                    103,                0.66651,                 1.1481,                0.48358,                0.96906,                0.91387,                0.89432,                 0.9328,                0.75626,                0.91052,                0.88133,                0.92427,                0.70188,                0.77292,                 1.2857,                0.53101,                 1.0494,              0.0050005,              0.0050005,              0.0050005
                    104,                0.67216,                 1.1485,                 0.4902,                0.97646,                 0.9073,                0.89413,                0.93335,                0.75499,                0.90108,                0.88807,                0.92306,                 0.6986,                0.77676,                 1.2778,                0.53334,                 1.0424,               0.004951,               0.004951,               0.004951
